Aa,Ad,Ba,Bd,l,s1,s2,p
0,0,0,0,56,0,0,0.125
0,0,0,0,56,0,1,0.14285714285714285
0,0,0,0,56,0,2,0.017857142857142856
0,0,0,0,56,0,3,0.0
0,0,0,0,56,0,4,0.0
0,0,0,0,56,0,5,0.0
0,0,0,0,56,0,6,0.0
0,0,0,0,56,0,7,0.0
0,0,0,0,56,0,8,0.0
0,0,0,0,56,1,0,0.16071428571428573
0,0,0,0,56,1,1,0.14285714285714285
0,0,0,0,56,1,2,0.05357142857142857
0,0,0,0,56,1,3,0.0
0,0,0,0,56,1,4,0.0
0,0,0,0,56,1,5,0.0
0,0,0,0,56,1,6,0.0
0,0,0,0,56,1,7,0.0
0,0,0,0,56,1,8,0.0
0,0,0,0,56,2,0,0.05357142857142857
0,0,0,0,56,2,1,0.08928571428571429
0,0,0,0,56,2,2,0.05357142857142857
0,0,0,0,56,2,3,0.017857142857142856
0,0,0,0,56,2,4,0.017857142857142856
0,0,0,0,56,2,5,0.0
0,0,0,0,56,2,6,0.0
0,0,0,0,56,2,7,0.0
0,0,0,0,56,2,8,0.0
0,0,0,0,56,3,0,0.017857142857142856
0,0,0,0,56,3,1,0.03571428571428571
0,0,0,0,56,3,2,0.05357142857142857
0,0,0,0,56,3,3,0.017857142857142856
0,0,0,0,56,3,4,0.0
0,0,0,0,56,3,5,0.0
0,0,0,0,56,3,6,0.0
0,0,0,0,56,3,7,0.0
0,0,0,0,56,3,8,0.0
0,0,0,0,56,4,0,0.0
0,0,0,0,56,4,1,0.0
0,0,0,0,56,4,2,0.0
0,0,0,0,56,4,3,0.0
0,0,0,0,56,4,4,0.0
0,0,0,0,56,4,5,0.0
0,0,0,0,56,4,6,0.0
0,0,0,0,56,4,7,0.0
0,0,0,0,56,4,8,0.0
0,0,0,0,56,5,0,0.0
0,0,0,0,56,5,1,0.0
0,0,0,0,56,5,2,0.0
0,0,0,0,56,5,3,0.0
0,0,0,0,56,5,4,0.0
0,0,0,0,56,5,5,0.0
0,0,0,0,56,5,6,0.0
0,0,0,0,56,5,7,0.0
0,0,0,0,56,5,8,0.0
0,0,0,0,56,6,0,0.0
0,0,0,0,56,6,1,0.0
0,0,0,0,56,6,2,0.0
0,0,0,0,56,6,3,0.0
0,0,0,0,56,6,4,0.0
0,0,0,0,56,6,5,0.0
0,0,0,0,56,6,6,0.0
0,0,0,0,56,6,7,0.0
0,0,0,0,56,6,8,0.0
0,0,0,0,56,7,0,0.0
0,0,0,0,56,7,1,0.0
0,0,0,0,56,7,2,0.0
0,0,0,0,56,7,3,0.0
0,0,0,0,56,7,4,0.0
0,0,0,0,56,7,5,0.0
0,0,0,0,56,7,6,0.0
0,0,0,0,56,7,7,0.0
0,0,0,0,56,7,8,0.0
0,0,0,0,56,8,0,0.0
0,0,0,0,56,8,1,0.0
0,0,0,0,56,8,2,0.0
0,0,0,0,56,8,3,0.0
0,0,0,0,56,8,4,0.0
0,0,0,0,56,8,5,0.0
0,0,0,0,56,8,6,0.0
0,0,0,0,56,8,7,0.0
0,0,0,0,56,8,8,0.0
0,0,0,1,33,0,0,0.06060606060606061
0,0,0,1,33,0,1,0.09090909090909091
0,0,0,1,33,0,2,0.12121212121212122
0,0,0,1,33,0,3,0.0
0,0,0,1,33,0,4,0.0
0,0,0,1,33,0,5,0.0
0,0,0,1,33,0,6,0.0
0,0,0,1,33,0,7,0.0
0,0,0,1,33,0,8,0.0
0,0,0,1,33,1,0,0.21212121212121213
0,0,0,1,33,1,1,0.15151515151515152
0,0,0,1,33,1,2,0.030303030303030304
